ID,Energy,Performance
0,0.24181046985546517,0.1218587017802813
1,0.2290676191428341,0.13187720151811264
2,0.2512238981016677,0.11779878597011442
3,0.22969123578761508,0.13009955012187968
4,0.24005349384475577,0.1252553884287468
5,0.19827377891512235,0.1953653677675559
6,0.23888651028877794,0.12692209070871008
7,0.19139821486933434,0.21539003956363303
8,0.25767812863001155,0.112647665055302
9,0.23768115032389045,0.12765045111088832
10,0.25709495067779625,0.11701412916449562
11,0.2316910232827341,0.12885938555557563
12,0.1982214148431523,0.19809656517972937
13,0.19555676503012526,0.2120708118352299
14,0.20581671588500897,0.16713231051945554
15,0.2037616950537024,0.18057954887267483
16,0.1947229747814093,0.21415891529569175
17,0.22024301771277494,0.14462176213495684
18,0.2060941378690423,0.16343380118247106
19,0.23958508646124219,0.125789587877453
20,0.19556393819066908,0.2023787901450886
21,0.21840480565890627,0.1490749309239021
22,0.25804494612732265,0.1107837199019703
23,0.21193891874467896,0.15932930026446984
24,0.2595236035089307,0.10896333254984081
25,0.21222817644360967,0.15159532501516304
26,0.1992034205216054,0.18097506192604382
27,0.2547024326429016,0.11766400333997933
28,0.22200806352909622,0.13522807029078532
29,0.21911979043611468,0.14798413674190936
30,0.19118642730427718,0.23317353921106138
31,0.24213030315121423,0.11897690121583793
32,0.25297343195831323,0.11774865340646662
33,0.20516449626255923,0.1778241070239831
34,0.22609434409740792,0.1327446592382809
